Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
2007/12/10,204.255
2007/12/11,204.3798
2007/12/12,204.5046
2007/12/13,204.54015
2007/12/14,204.7005
2007/12/15,204.8964
2007/12/16,204.89885
2007/12/17,205.0972
2007/12/18,205.298
2007/12/19,205.2991
2007/12/20,205.501
2007/12/21,205.704
2007/12/22,205.70505
2007/12/23,205.9091
2007/12/24,206.11235
2007/12/25,206.1142
2007/12/26,206.3156
2007/12/27,206.51455
2007/12/28,206.517
2007/12/29,206.7135
2007/12/30,206.91
2007/12/31,206.9138
2008/1/1,207.1141
2008/1/2,207.31635
2008/1/3,207.3182
2008/1/4,207.5186
2008/1/5,207.7154
2008/1/6,207.719
2008/1/7,207.9122
2008/1/8,208.1054
2008/1/9,208.11605
2008/1/10,208.3199
2008/1/11,208.5227
2008/1/12,208.5344
2008/1/13,208.7255
2008/1/14,208.9166
2008/1/15,208.923
2008/1/16,209.1205
2008/1/17,209.321
2008/1/18,209.3244
2008/1/19,209.5215
2008/1/20,209.7186
2008/1/21,209.7213
2008/1/22,209.9211
2008/1/23,210.1236
,
International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,